-7594512,7911936,2495488,-2796048,3042816,-5167616,8350208,313840,-574992,1770480,6167536,-4742160,3718640,-3955728,-6606864,2545136,-3138064,-8266256,2733568,-2195472,-6236672,-8243712,4027392,385536,-2937344,-5997568,6868464,5345792,3792880,2888176,102896,-2743312,-4923392,-6630416,-7463936,7950848,6141440,4079104,1989104,1660912,455152,-904704,-1566208,-2377744,-3383312,-3920400,-4906496,-4408336,-5601792,-6513680,-6580752,8335344,7969264,7139328,7137264,5602288,4791296,4505600,4899312,3766784,3587568,1658352,1933312,2004464,1800192,1541104,755712,626688,493056,-202752
-747536,-1442320,-2692112,-2058240,-1533952,-2005008,-2172432,-2389008,-2041360,-2326528,-2699792,-2138128,-1908752,-2704912,-2586112,-1731072,-1890816,-1772048,-1302544,-1877520,-1096704,-904704,-1875456,-1312784,-825872,-101392,-797696,-1441808,-1361920,-1943040,-2129920,-1587216,-2097680,-1866240,-2605056,-2028560,-1802752,-1616384,-2294288,-442368,-392704,-1247248,-414736,-1089536,-1183760,-2053120,-1286144,-226304,-513536,-352768,-1370112,-867840,-1020432,-202240,-574464,-1029120,-801808,242160,830960,489472,1005552,2597360,1803760,1583616,1604096,932848,1154032,2514416,2016752,1539072
1518576,2203120,2605552,2873344,1231360,1722864,3489280,3244032,2776560,1843712,2319360,2638848,2521072,1903104,2209264,3079152,3253744,2258928,1779200,2000368,2231792,1574896,2314752,3270128,3961328,2727936,4102128,4077552,4028416,4893696,3868656,3176960,4711920,5071872,4939760,3876352,3124720,3305984,4371456,5388272,5163504,4893680,5004800,4301824,3449344,4125184,4837872,4914672,5207536,5040624,5751280,5036544,5099520,4130288,3785728,5244400,6156288,7490544,5361152,6783472,7101936,6565872,6860272,7232496,5769216,5420544,6809072,6420464,6804464,6836224
6866944,7794176,-8350720,7896560,7447536,7609328,6937072,7239680,7525888,7211008,5976576,6496240,6219776,8344576,8182768,7527936,6847984,8062464,6787072,-7932432,8348656,-8160768,-7756800,-8352256,-7974912,7604224,7083520,7393776,7313408,-8285696,7366144,8118256,8146944,-8035344,-7154192,-7109120,-7087120,-7916544,7905280,7195120,8059392,-8174608,-8378384,-7529984,-7264768,-7446528,-7654400,-6154768,-6001152,-6830608,-6151184,-6242304,-5230592,-5364736,-6285824,-5878800,-5764112,-5295104,-7362064,-7254528,-8193536,-7571456,-7294992,-6583296,-6383616,-8299536,-6721024,-6504464,-5623824,-6074880
-6745616,-7131664,-7254016,-6575120,-6385152,-7330832,-7405072,-6944784,-6299648,-4731408,-4939792,-6711312,-7118352,-7794688,-7762944,8348672,-7524352,-6194176,-6198272,-4536320,-4582400,-4523024,-5713408,-4651520,-3219968,-3767312,-3907072,-3098640,-3455504,-5594640,-6545936,-5213712,-5560848,-5073920,-5421568,-4716560,-4877840,-4838912,-5015040,-3501072,-3056640,-4018688,-4322832,-4295696,-4416000,-3126272,-2986496,-3288080,-3270144,-3909120,-3293696,-2861568,-3601920,-4124672,-4171264,-4497936,-4487168,-4687360,-4385808,-4892160,-4594192,-4065808,-4668944,-4377616,-4048912,-4089360,-3550208,-2501120,-3761664,-4472832
-3885568,-4225024,-3622912,-4810256,-4579840,-3585040,-2603520,-1932800,-3656208,-3617808,-4116992,-4239376,-2448912,-2007056,-2125312,-2235920,-2085904,-3113984,-3442704,-2312192,-2812944,-2577920,-1566720,-3416576,-3148800,-2123264,-907264,-2569744,-2384400,-1959952,-789504,-3196432,-3141648,-2193408,-2693632,-1929232,-2245632,-2984976,-3040272,-2677776,-2569728,-1249792,-2343424,-1571328,-1341952,-1585664,-1560064,-2044416,-2017296,-1922048,-2332176,-2187264,-1714176,-2277888,-2553344,-3226624,-3159056,-2650112,-1373712,-2325520,-1269776,-2004480,-3659280,-4231680,-3268096,-2226176,-249872,-1439760,-690704,-421904
-1081344,1004016,-1141760,-1110016,-1297920,-2441232,-1711120,-1008144,-359936,-214016,-1394192,-2268176,-1544720,-2863104,-2680320,-2568208,-2301952,-2079760,-1736208,-1656832,-1261584,-1674752,-2782720,-1994752,-1668096,-1010704,-157696,111616,47088,819184,34304,-949248,56832,-840720,-831488,-100352,-348160,1287664,1142784,87040,539632,1264624,988144,1086448,-105488,-1509888,-1404944,-861200,-978960,-574976,697840,1137648,1874432,518128,-252432,-1187840,-1423360,-2192384,-962576,-366080,460272,2161136,1607168,1518080,846848,1701376,1792512,1787904,1594352,1243648
1594368,1661440,2111488,742384,2556416,2330608,1894400,2247168,1698288,1406976,745984,889840,-1190400,-607744,179712,628224,-2127376,-3214848,-1543184,-700416,-550928,-818688,-87552,-49680,-120320,-902144,-137744,1351664,659952,1346544,2331648,2561536,3231728,1921536,1432064,1067520,801280,847344,501248,463360,1439728,1783792,2105328,3342336,3707888,3301360,2987504,2205184,1283568,1794032,986112,1001984,717296,1021952,84464,-478208,-505872,157168,1156096,1378304,1235456,2186752,2722800,2200048,2070528,1352192,1869296,2720256,2522624,2647536
2995184,2531824,2348544,2988032,2321408,1912832,2100736,741872,660480,1260544,1625072,2903552,4466672,4793344,4422656,2924032,347632,174064,-238096,-47104,807920,688112,1404416,838128,36336,769008,980464,1714160,1574912,3397632,2364928,2045424,1233392,1446384,1568768,847360,319472,845296,532464,3381232,4144624,6116336,5614080,6623744,3952128,2337792,1840128,1665520,1362928,1938928,2928640,1627648,2399744,1374704,1672192,634864,1081840,1372672,1485312,1412080,1838080,2352128,4408320,4225024,3948016,3850224,2273264,628208,-544784,148480
647680,1632768,2433008,3090432,2088432,1369088,2014704,2410496,2152432,3276800,1217520,324096,78832,-604160,-647168,-416784,708592,837616,1709040,2399728,3387904,3781616,4489712,2985968,2467328,1274864,1509376,1651712,1405936,1719808,2610672,2967552,2563072,3354624,2961904,2910192,2461696,1835008,1692656,1325552,3003376,857584,1019888,140288,-78336,203760,751600,146928,-22032,1205760,1499648,650224,1076208,1852912,1910768,2399216,2466288,1155584,805888,1445888,1237488,1541120,899584,1660928,2266624,3035120,3203568,2491376,3020784,2235904
